,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
2144,NLD5280000NLD00011052800000008702145,NLD,2.0,15.58,1.0,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,515.8202,526.7253,524.3885,525.1675,512.7045
2145,NLD5280000NLD00011052800000008702146,NLD,2.0,15.67,1.0,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,506.473,483.1048,484.6627,510.3677,512.7045
2146,NLD5280000NLD00011052800000008702147,NLD,1.0,16.17,1.0,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,394.3839,385.0366,406.8469,419.3099,412.2994
2147,NLD5280000NLD00011052800000008702148,NLD,2.0,15.75,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,511.3024,515.1971,547.9124,507.4077,492.6079
2148,NLD5280000NLD00011052800000008702149,NLD,1.0,15.33,1.0,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,476.1723,469.1619,477.7302,464.4882,436.4465
2149,NLD5280000NLD00011052800000008702150,NLD,1.0,16.17,1.0,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,434.1097,504.993,474.6144,476.1723,487.0774
2150,NLD5280000NLD00011052800000008702151,NLD,2.0,15.92,1.0,5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,559.986,565.4385,514.8076,562.3228,587.2488
2151,NLD5280000NLD00011052800000008702152,NLD,2.0,15.58,1.0,5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,595.5834,588.573,590.1309,632.9724,590.9098
2152,NLD5280000NLD00011052800000008702153,NLD,1.0,15.42,1.0,5,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,538.4873,512.7824,491.7511,545.4977,467.604
2153,NLD5280000NLD00011052800000008702154,NLD,1.0,15.5,1.0,5,2.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,429.8255,450.8568,443.0675,450.0779,422.0361
2154,NLD5280000NLD00011052800000008702155,NLD,2.0,15.25,1.0,5,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,440.497,463.0862,438.9391,458.4125,452.96
2155,NLD5280000NLD00011052800000008702156,NLD,2.0,15.42,1.0,5,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,464.1767,447.819,450.9347,455.6084,444.7032
2156,NLD5280000NLD00011052800000008702157,NLD,1.0,15.75,1.0,5,3.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,478.8986,452.4147,443.8464,436.836,425.9308
2157,NLD5280000NLD00011052800000008702158,NLD,2.0,16.0,1.0,5,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,481.547,556.325,515.0413,560.9986,519.7149
2158,NLD5280000NLD00011052800000008702159,NLD,1.0,15.58,1.0,5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,510.3677,519.7149,498.6836,505.694,496.3468
2159,NLD5280000NLD00011052800000008702160,NLD,1.0,15.83,1.0,5,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,464.4882,471.4987,523.6875,474.6144,483.9617
2160,NLD5280000NLD00011052800000008702161,NLD,1.0,16.0,1.0,5,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,401.3164,399.7585,421.5688,441.0422,452.7263
2161,NLD5280000NLD00011052800000008702162,NLD,2.0,15.75,1.0,5,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,571.0469,544.563,547.6788,546.1209,548.4577
2162,NLD5280000NLD00011052800000008702163,NLD,2.0,16.17,1.0,5,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,535.4494,548.6914,533.1126,511.3024,528.439
2163,NLD5280000NLD00011052800000008702164,NLD,1.0,15.42,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,429.5139,419.3878,429.5139,381.2198,418.6088
2164,NLD5280000NLD00011052800000008702165,NLD,2.0,16.0,1.0,5,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,377.3251,445.0927,415.4931,427.9561,388.2303
2165,NLD5280000NLD00021052800000008802166,NLD,1.0,15.58,2.0,6,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,528.3611,582.1078,489.4142,523.6875,512.0034
2166,NLD5280000NLD00021052800000008802167,NLD,1.0,15.67,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,537.7084,536.1505,545.4977,510.4456,533.8137
