,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
0,TUR7920000TUR00311079200000000100001,TUR,2.0,16.0,31.0,2,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,489.4921,466.9029,452.1031,458.3346,501.9551
1,TUR7920000TUR00311079200000000100002,TUR,2.0,16.25,31.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,493.1531,511.8476,489.2585,450.3116,517.3002
2,TUR7920000TUR00311079200000000100003,TUR,1.0,16.17,31.0,2,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,459.4251,470.3303,466.4356,460.983,460.2041
3,TUR7920000TUR00311079200000000100004,TUR,2.0,15.58,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,500.3194,514.3402,510.4456,526.0243,474.6144
4,TUR7920000TUR00311079200000000100005,TUR,1.0,15.83,31.0,2,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,541.5252,514.2623,516.5992,524.3885,504.1362
5,TUR7920000TUR00311079200000000100006,TUR,1.0,16.25,31.0,2,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,518.3128,544.0178,508.1866,497.2815,500.3973
6,TUR7920000TUR00311079200000000100007,TUR,1.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,495.1005,484.9743,448.3642,468.6166,432.7855
7,TUR7920000TUR00311079200000000100008,TUR,2.0,16.17,31.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,522.0517,539.9673,466.7472,454.2842,487.7785
8,TUR7920000TUR00311079200000000100009,TUR,1.0,15.75,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,417.9078,474.7702,413.2341,471.6545,425.6971
9,TUR7920000TUR00311079200000000100010,TUR,1.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,497.2036,526.8032,557.1818,590.6761,547.0556
10,TUR7920000TUR00311079200000000100011,TUR,2.0,16.0,31.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,486.3764,494.1658,503.513,498.0604,489.4921
11,TUR7920000TUR00311079200000000100012,TUR,2.0,15.92,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,521.2728,525.9464,529.8411,487.7785,482.3259
12,TUR7920000TUR00311079200000000100013,TUR,1.0,15.67,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,436.3686,475.3155,465.1893,456.621,448.0527
13,TUR7920000TUR00311079200000000100014,TUR,2.0,16.17,31.0,2,1.0,2.0,2.0,9.0,1.0,1.0,1.0,2.0,507.2519,461.2946,476.8733,485.4417,487.7785
14,TUR7920000TUR00311079200000000100015,TUR,2.0,15.75,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,440.1854,412.9226,361.5127,416.8173,388.7755
15,TUR7920000TUR00311079200000000100016,TUR,1.0,16.25,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,494.9447,505.0709,451.3242,450.5453,478.587
16,TUR7920000TUR00311079200000000100017,TUR,1.0,15.5,31.0,2,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,453.9726,489.8037,470.3303,447.7411,450.8568
17,TUR7920000TUR00311079200000000100018,TUR,2.0,15.58,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,513.7171,521.5065,524.6222,494.2437,498.9173
18,TUR7920000TUR00311079200000000100019,TUR,2.0,15.83,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,409.9626,381.1419,409.1837,420.8677,399.0575
19,TUR7920000TUR00311079200000000100020,TUR,1.0,16.08,31.0,2,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,415.2594,433.1749,465.8903,483.8059,420.7119
20,TUR7920000TUR00311079200000000100021,TUR,1.0,16.25,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,444.7032,418.2193,445.4822,463.3977,502.3446
21,TUR7920000TUR00311079200000000100022,TUR,2.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,462.9304,488.6353,481.6249,468.3829,416.1941
22,TUR7920000TUR00311079200000000100023,TUR,1.0,16.17,31.0,2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,501.0983,532.2558,542.382,523.6875,539.2662
23,TUR7920000TUR00311079200000000100024,TUR,2.0,15.83,31.0,2,3.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,465.2672,451.2463,486.2985,464.4882,529.1401
24,TUR7920000TUR00311079200000000100025,TUR,1.0,15.83,31.0,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,526.1022,469.2398,534.6705,555.7018,499.6183
25,TUR7920000TUR00311079200000000100026,TUR,1.0,15.67,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,491.05,416.272,398.3564,441.198,413.1563
26,TUR7920000TUR00311079200000000100027,TUR,1.0,15.92,31.0,2,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,377.1693,420.7898,356.917,378.7272,364.7063
27,TUR7920000TUR00311079200000000100028,TUR,1.0,16.0,31.0,2,3.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,450.9347,441.5875,415.1036,447.04,416.6615
28,TUR7920000TUR00311079200000000100029,TUR,1.0,15.58,31.0,2,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,453.5052,463.6314,449.6105,447.2737,440.2633
29,TUR7920000TUR00311079200000000100030,TUR,2.0,15.58,31.0,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,530.8537,502.033,463.0862,517.6118,500.4752
30,TUR7920000TUR00311079200000000100031,TUR,2.0,15.83,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,474.225,431.3834,476.5618,436.836,461.762
31,TUR7920000TUR00311079200000000100032,TUR,2.0,15.92,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,553.9882,557.8828,589.0403,575.0195,544.6409
32,TUR7920000TUR00311079200000000100033,TUR,1.0,15.5,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,483.6501,495.3342,478.9765,533.5021,464.1767
33,TUR7920000TUR00311079200000000100034,TUR,2.0,16.08,31.0,2,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,543.9399,528.3611,561.0765,572.7606,579.771
34,TUR7920000TUR00311079200000000100035,TUR,1.0,15.5,31.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,490.4269,482.6375,502.1109,483.4164,493.5426
35,TUR7920000TUR00281079200000000200036,TUR,2.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,447.4295,495.7236,481.7028,498.0604,497.2815
36,TUR7920000TUR00281079200000000200037,TUR,2.0,15.83,28.0,2,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,608.9811,535.761,572.3711,579.3815,585.613
37,TUR7920000TUR00281079200000000200038,TUR,2.0,15.75,28.0,2,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,454.4399,504.2919,497.2815,525.3233,445.8716
38,TUR7920000TUR00281079200000000200039,TUR,2.0,16.08,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,479.2881,532.2558,481.6249,468.3829,500.3194
39,TUR7920000TUR00281079200000000200040,TUR,1.0,15.58,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,393.6049,411.5205,413.0784,416.973,362.4474
40,TUR7920000TUR00281079200000000200041,TUR,1.0,15.92,28.0,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,423.9835,436.4465,449.6884,447.3516,445.7937
41,TUR7920000TUR00281079200000000200042,TUR,2.0,15.92,28.0,2,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,480.3007,463.164,504.4477,509.9003,490.4269
42,TUR7920000TUR00281079200000000200043,TUR,2.0,15.5,28.0,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,468.3829,434.1097,458.2567,469.9408,480.067
43,TUR7920000TUR00281079200000000200044,TUR,1.0,16.25,28.0,2,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,437.9265,440.2633,412.2215,389.6323,432.4739
44,TUR7920000TUR00281079200000000200045,TUR,1.0,15.33,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,442.8338,431.1497,446.7285,446.7285,420.2446
45,TUR7920000TUR00281079200000000200046,TUR,2.0,15.75,28.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,485.5196,434.1097,459.8146,476.9512,445.0148
46,TUR7920000TUR00281079200000000200047,TUR,1.0,15.83,28.0,2,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,544.7188,478.5091,493.3089,508.1087,480.067
47,TUR7920000TUR00281079200000000200048,TUR,2.0,15.5,28.0,2,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,403.6532,420.7898,424.6845,463.6314,435.5897
48,TUR7920000TUR00281079200000000200049,TUR,1.0,16.08,28.0,2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,490.6605,513.2497,515.5865,543.6283,490.6605
49,TUR7920000TUR00281079200000000200050,TUR,2.0,16.0,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,542.3041,553.9882,585.9246,515.8202,532.1779
50,TUR7920000TUR00281079200000000200051,TUR,1.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,486.9216,551.5735,497.8268,540.6683,534.4368
51,TUR7920000TUR00281079200000000200052,TUR,2.0,16.17,28.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,534.5147,529.0622,518.157,548.5356,508.8098
52,TUR7920000TUR00281079200000000200053,TUR,1.0,15.42,28.0,2,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,524.5443,429.5139,517.5339,489.4921,434.1876
53,TUR7920000TUR00281079200000000200054,TUR,2.0,16.08,28.0,2,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,458.4125,506.7067,438.9391,498.9173,481.7807
54,TUR7920000TUR00281079200000000200055,TUR,1.0,15.67,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,484.429,451.7137,445.4822,475.0818,480.5344
55,TUR7920000TUR00281079200000000200056,TUR,2.0,15.33,28.0,2,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,504.9151,406.769,452.7263,460.5157,456.621
56,TUR7920000TUR00281079200000000200057,TUR,2.0,15.42,28.0,2,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,507.2519,468.305,505.694,519.7149,467.5261
57,TUR7920000TUR00281079200000000200058,TUR,1.0,15.67,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,521.5844,534.0474,561.3102,504.4477,518.4686
58,TUR7920000TUR00281079200000000200059,TUR,2.0,16.25,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,563.8028,550.5608,560.687,573.15,566.9185
59,TUR7920000TUR00281079200000000200060,TUR,1.0,15.5,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,399.7585,423.9056,406.769,368.601,362.3695
60,TUR7920000TUR00281079200000000200061,TUR,2.0,15.75,28.0,2,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,530.3085,558.3502,558.3502,546.6661,517.8455
61,TUR7920000TUR00281079200000000200062,TUR,1.0,15.5,28.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,506.3951,514.9634,555.4681,492.3742,482.248
62,TUR7920000TUR00281079200000000200063,TUR,1.0,15.67,28.0,2,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,518.2349,537.7084,529.919,540.8241,526.8032
63,TUR7920000TUR00281079200000000200064,TUR,1.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,444.9369,455.842,463.6314,384.1798,483.8838
64,TUR7920000TUR00281079200000000200065,TUR,2.0,15.42,28.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,448.2863,458.4125,453.7389,452.181,425.6971
65,TUR7920000TUR00281079200000000200066,TUR,1.0,15.33,28.0,2,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,454.5957,419.5435,417.9857,422.6593,393.8386
66,TUR7920000TUR00281079200000000200067,TUR,1.0,15.75,28.0,2,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,503.513,564.2701,548.6914,551.0282,500.3973
67,TUR7920000TUR00281079200000000200068,TUR,1.0,15.42,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,447.4295,415.4931,435.7454,389.0092,408.4826
68,TUR7920000TUR00371079200000000300069,TUR,1.0,15.67,37.0,2,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,540.0452,445.0148,457.4778,455.9199,471.4987
69,TUR7920000TUR00371079200000000300070,TUR,1.0,16.17,37.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,304.7282,314.8543,331.991,272.0128,359.2538
70,TUR7920000TUR00371079200000000300071,TUR,2.0,15.67,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,475.4713,476.2502,405.3669,427.9561,391.346
71,TUR7920000TUR00371079200000000300072,TUR,2.0,15.5,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,397.4217,343.675,398.9796,356.917,333.5488
72,TUR7920000TUR00371079200000000300073,TUR,2.0,15.92,37.0,2,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,410.3521,408.0153,386.205,385.4261,416.5836
73,TUR7920000TUR00371079200000000300074,TUR,2.0,15.67,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,483.9617,461.3725,485.5196,515.1192,518.2349
74,TUR7920000TUR00371079200000000300075,TUR,1.0,16.25,37.0,2,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,429.1245,449.3768,439.2507,398.7459,443.9243
75,TUR7920000TUR00371079200000000300076,TUR,1.0,15.58,37.0,2,4.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,421.2572,415.8046,377.6367,372.9631,369.8473
76,TUR7920000TUR00371079200000000300077,TUR,2.0,15.42,37.0,2,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,393.8386,347.1024,403.9648,406.3016,366.5758
77,TUR7920000TUR00371079200000000300078,TUR,1.0,15.75,37.0,2,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,371.7947,361.6685,359.3317,360.1106,317.269
78,TUR7920000TUR00371079200000000300079,TUR,2.0,15.83,37.0,2,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,358.4748,303.1703,319.528,297.7177,332.7699
79,TUR7920000TUR00371079200000000300080,TUR,2.0,15.42,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,425.1519,372.1841,394.7733,360.5001,376.0788
80,TUR7920000TUR00371079200000000300081,TUR,1.0,15.92,37.0,2,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,363.2264,311.0375,385.0366,381.9209,371.0157
81,TUR7920000TUR00371079200000000300082,TUR,2.0,16.25,37.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,388.2303,436.5244,451.3242,390.5671,418.6088
82,TUR7920000TUR00371079200000000300083,TUR,2.0,15.83,37.0,2,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,388.8534,379.5062,420.0109,401.3164,370.9378
83,TUR7920000TUR00371079200000000300084,TUR,2.0,16.25,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,405.1332,443.3011,401.2385,433.9539,467.4482
84,TUR7920000TUR00371079200000000300085,TUR,2.0,16.08,37.0,2,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,355.3591,358.4748,366.2642,360.8117,347.5697
85,TUR7920000TUR00371079200000000300086,TUR,1.0,15.67,37.0,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,490.0374,474.4586,472.1218,475.2376,470.564
86,TUR7920000TUR00371079200000000300087,TUR,2.0,16.08,37.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,523.7654,466.124,548.6914,517.5339,508.9656
87,TUR7920000TUR00371079200000000300088,TUR,1.0,16.17,37.0,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,334.5615,327.551,365.719,384.4135,345.4666
88,TUR7920000TUR00371079200000000300089,TUR,1.0,15.75,37.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,413.5457,378.4935,392.5144,337.9888,433.0192
89,TUR7920000TUR00371079200000000300090,TUR,1.0,15.83,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,425.775,463.943,474.8481,445.2485,443.6906
90,TUR7920000TUR00371079200000000300091,TUR,2.0,15.83,37.0,2,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,354.1128,395.3965,361.9022,394.6175,392.2807
91,TUR7920000TUR00371079200000000300092,TUR,1.0,15.67,37.0,2,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,367.121,366.3421,371.7947,343.7529,317.269
92,TUR7920000TUR00371079200000000300093,TUR,1.0,16.17,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,366.3421,374.9104,391.2681,393.6049,410.7415
93,TUR7920000TUR00371079200000000300094,TUR,1.0,15.33,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,216.4745,218.8113,278.0106,256.2003,267.8844
94,TUR7920000TUR00371079200000000300095,TUR,1.0,15.42,37.0,2,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,444.158,434.8107,460.5157,465.1893,443.379
95,TUR7920000TUR00371079200000000400096,TUR,1.0,16.0,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,355.437,342.974,336.7425,367.121,381.9209
96,TUR7920000TUR00371079200000000400097,TUR,1.0,15.75,37.0,2,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,446.2611,441.5875,404.9774,399.5248,408.0932
97,TUR7920000TUR00371079200000000400098,TUR,2.0,15.75,37.0,2,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,397.1101,361.279,346.4792,407.2363,337.132
98,TUR7920000TUR00371079200000000400099,TUR,2.0,15.83,37.0,2,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,417.6741,434.0318,437.9265,487.7785,434.8107
99,TUR7920000TUR00371079200000000400100,TUR,2.0,15.42,37.0,2,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,437.4591,389.165,395.3965,379.0388,429.6697
100,TUR7920000TUR00371079200000000400101,TUR,2.0,15.75,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,451.48,462.3851,472.5113,471.7324,462.3851
101,TUR7920000TUR00371079200000000400102,TUR,1.0,16.17,37.0,2,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,466.8251,462.1514,515.8981,443.4569,420.0888
102,TUR7920000TUR00371079200000000400103,TUR,1.0,15.58,37.0,2,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,438.0823,418.6088,417.0509,399.9143,422.5035
103,TUR7920000TUR00371079200000000400104,TUR,1.0,15.5,37.0,2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,494.01,485.4417,478.4312,509.5887,514.2623
104,TUR7920000TUR00371079200000000400105,TUR,1.0,15.67,37.0,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,379.584,349.9844,355.437,353.1002,392.047
105,TUR7920000TUR00371079200000000400106,TUR,2.0,16.17,37.0,2,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,314.2312,316.568,344.6098,285.4105,336.8204
106,TUR7920000TUR00371079200000000400107,TUR,2.0,15.5,37.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,370.2368,376.4683,351.5423,332.8478,363.2264
107,TUR7920000TUR00371079200000000400108,TUR,1.0,16.25,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,397.1101,351.9318,388.5418,393.2155,370.6263
108,TUR7920000TUR00371079200000000400109,TUR,2.0,15.5,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,466.124,535.4494,529.9969,537.7863,494.9447
109,TUR7920000TUR00371079200000000400110,TUR,1.0,15.5,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,336.6646,335.8857,311.7386,314.0754,296.9388
110,TUR7920000TUR00371079200000000400111,TUR,1.0,15.58,37.0,2,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,439.9517,362.8369,436.057,409.5731,403.3416
111,TUR7920000TUR00371079200000000400112,TUR,1.0,15.83,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,475.8607,453.2715,461.8399,466.5135,461.0609
112,TUR7920000TUR00371079200000000400113,TUR,2.0,16.0,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,433.2528,413.7794,423.9056,414.5583,450.3895
113,TUR7920000TUR00371079200000000400114,TUR,2.0,15.58,37.0,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,467.4482,451.0905,486.1427,482.248,451.0905
114,TUR7920000TUR00371079200000000400115,TUR,2.0,15.33,37.0,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,433.0192,401.8617,461.0609,444.7032,447.04
115,TUR7920000TUR00371079200000000400116,TUR,2.0,16.08,37.0,2,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,459.8146,520.5717,487.8564,502.6562,526.8032
116,TUR7920000TUR00371079200000000400117,TUR,2.0,16.17,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,428.6571,434.1097,424.7624,481.6249,416.973
117,TUR7920000TUR00371079200000000400118,TUR,1.0,16.25,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,354.5802,313.2965,335.8857,315.6333,318.749
118,TUR7920000TUR00371079200000000400119,TUR,1.0,15.67,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,371.1715,336.1193,371.1715,340.793,367.2768
119,TUR7920000TUR00271079200000000500120,TUR,2.0,15.42,27.0,1,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,423.2045,468.3829,473.0566,445.0148,466.8251
120,TUR7920000TUR00271079200000000500121,TUR,2.0,15.58,27.0,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,444.3138,461.4504,445.0927,415.4931,409.2616
121,TUR7920000TUR00271079200000000500122,TUR,1.0,15.33,27.0,1,3.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,337.4435,327.3173,396.6428,329.6542,351.4644
122,TUR7920000TUR00271079200000000500123,TUR,1.0,15.42,27.0,1,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,395.9417,406.0679,404.51,376.4683,368.6789
123,TUR7920000TUR00271079200000000500124,TUR,1.0,15.83,27.0,1,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,450.9347,465.7345,457.1662,443.9243,478.1975
124,TUR7920000TUR00271079200000000500125,TUR,1.0,15.67,27.0,1,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,404.51,444.2359,435.6675,404.51,384.2577
125,TUR7920000TUR00271079200000000500126,TUR,1.0,15.75,27.0,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,374.0536,430.916,379.5062,405.99,370.9378
126,TUR7920000TUR00271079200000000500127,TUR,1.0,16.0,27.0,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,352.5549,351.776,372.0284,339.313,380.5967
127,TUR7920000TUR00271079200000000500128,TUR,1.0,16.17,27.0,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,469.3177,442.0548,459.1915,488.7911,407.0026
128,TUR7920000TUR00271079200000000500129,TUR,1.0,15.92,27.0,1,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,450.8568,376.0788,398.668,379.1946,367.5105
129,TUR7920000TUR00161079200000000600130,TUR,2.0,15.42,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,403.1859,445.2485,442.1327,428.1119,390.7229
130,TUR7920000TUR00161079200000000600131,TUR,2.0,16.17,16.0,3,3.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,400.7711,416.3499,452.96,421.8025,407.0026
131,TUR7920000TUR00161079200000000600132,TUR,2.0,15.83,16.0,3,3.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,404.3543,452.6484,438.6275,411.3647,466.6693
132,TUR7920000TUR00161079200000000600133,TUR,2.0,15.75,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,407.5479,418.453,355.3591,356.138,347.5697
133,TUR7920000TUR00161079200000000600134,TUR,2.0,15.83,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,393.7607,440.497,410.8973,380.5188,424.9182
134,TUR7920000TUR00161079200000000600135,TUR,2.0,16.25,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,303.8713,358.3969,332.692,336.5867,289.0715
135,TUR7920000TUR00161079200000000600136,TUR,2.0,15.5,16.0,3,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,371.8726,434.9665,371.0936,410.0405,396.0196
136,TUR7920000TUR00161079200000000600137,TUR,2.0,16.25,16.0,3,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,385.4261,410.3521,321.5532,324.669,347.2581
137,TUR7920000TUR00161079200000000600138,TUR,2.0,15.33,16.0,3,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,489.4142,489.4142,521.3507,551.7292,523.6875
138,TUR7920000TUR00161079200000000600139,TUR,2.0,16.0,16.0,3,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,317.1912,330.4331,371.7168,397.4217,344.454
139,TUR7920000TUR00161079200000000600140,TUR,2.0,15.67,16.0,3,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,454.2063,473.6797,433.9539,460.4378,420.7119
140,TUR7920000TUR00161079200000000600141,TUR,2.0,15.67,16.0,3,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,448.0527,401.3164,452.7263,472.1997,438.7054
141,TUR7920000TUR00161079200000000600142,TUR,2.0,15.92,16.0,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,447.5853,498.2162,470.1745,439.017,467.0587
142,TUR7920000TUR00161079200000000600143,TUR,2.0,15.5,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,503.3572,501.0204,525.1675,472.1997,482.3259
143,TUR7920000TUR00161079200000000600144,TUR,2.0,15.83,16.0,3,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,578.9921,588.3393,557.9607,559.5186,578.9921
144,TUR7920000TUR00161079200000000600145,TUR,2.0,15.92,16.0,3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,469.084,426.2424,486.2206,451.9473,474.5365
145,TUR7920000TUR00161079200000000600146,TUR,2.0,15.58,16.0,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,466.124,396.7986,406.9248,476.2502,354.7359
146,TUR7920000TUR00161079200000000600147,TUR,2.0,15.67,16.0,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,455.6084,524.1549,490.6605,429.1245,436.9138
